"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"IV01_RV1"	"IV02_01"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"DV01_01"	"DV01_01a"	"DV02_01"	"DV02_01a"	"DV03_01"	"DV04_01"	"DV05_01"	"DV05_01a"	"DV06_01"	"DV06_01a"	"DV07_01"	"DV07_02"	"DV08_01"	"DV08_02"	"DV09_01"	"DV09_02"	"DV10_01"	"DV10_02"	"DV11_01"	"DV11_02"	"DV12_01"	"DV12_02"	"DM01_01"	"DM02"	"DM03"	"DM04"	"DM05"	"DM06_01"	"DM07_01"	"DM08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
53			"base"	"interview"	2020-07-27 11:07:50	0	63	"5eb07022c3a8b111d263babf"	"Forced4Forced2Forced1Forced4Forced3Forced3Forced3Forced3Forced4Forced3Forced3Forced3Forced3Forced1Forced3Forced1DV"	1	12658	1	11397	1	7878	1	7428	1	10313	1	2290	1	2251	1	2348	1	4349	1	4723	1	3022	1	1911	1	1577	1	2463	1	1978	1	2291	1	8649	2	36525	31	56	1	9324	2	36320			21	76	61	61	-9	-9	62	61	21	21	"5eb07022c3a8b111d263babf"	22	2	2	3	"African, white"	"english"	1	32	41	15	12	38	27	37	47	37	77	29	9	29	10	117	46	42	396		2020-07-27 11:18:35	T	F	18	18	5	5	0.41	0
54			"base"	"interview"	2020-07-27 11:07:59	0	14	"563bb259be9cac0005aab7ab"	"Forced1Forced2Forced4Forced2Forced2Forced2Forced2Forced2Forced2Forced1Forced3Forced1Forced4Forced2Forced2Forced4DV"	1	2970	1	2480	1	2527	1	2100	1	1769	1	1733	1	1853	1	1937	1	1798	1	1614	1	2319	1	1727	1	1963	1	1843	1	1425	1	2177	2	8311	1	8829	81	31	2	5144	2	7480	12	24			14	21	88	81	47	49	47	49	"563bb259be9cac0005aab7ab"	17	1	2	2	"Spain"	"Spanish"	2	92	36	9	24	3	8	9	43	5	71	30	10	25	8	30	14	27	396		2020-07-27 11:15:23	T	F	18	18	0	0	0.78	7
55			"base"	"interview"	2020-07-27 11:08:00	0	45	"5eff464ab3334549e48d2c2e"	"Forced2Forced1Forced3Forced3Forced2Forced1Forced1Forced3Forced1Forced4Forced1Forced2Forced1Forced1Forced1Forced1DV"	1	7614	1	2675	1	1781	1	760	1	2595	1	878	1	843	1	1039	1	1047	1	753	1	664	1	972	1	718	1	760	1	612	1	524	1	2637	2	9815	46	56	2	4181	2	7331			29	36	51	75	30	11	29	28	34	34	"5eff464ab3334549e48d2c2e"	17	2	2	3	"New Zealand, British"	"English"	2	36	3	15	13	5	1	10	12	8	27	14	3	4	5	13	11	26	206		2020-07-27 11:11:26	T	F	18	18	0	0	1.33	44
56			"base"	"interview"	2020-07-27 11:08:07	0	35	"5c14275bea3b6c0001f75ad9"	"Forced3Forced3Forced4Forced3Forced3Forced4Forced1Forced3Forced3Forced3Forced3Forced1Forced2Forced1Forced3Forced4DV"	1	5840	1	1456	1	4930	1	1618	1	1330	1	4123	1	1753	1	1040	1	939	1	1008	1	706	1	913	1	1633	1	739	1	749	1	682	2	2697	2	5020	75	27	2	3117	1	2988			63	28	62	78	26	13	40	66	42	49	"5c14275bea3b6c0001f75ad9"	24	2	2	4	"Brazilian"	"Portuguese"	2	26	11	6	2	19	12	5	9	3	20	13	4	5	3	13	14	19	184		2020-07-27 11:11:12	T	F	18	18	0	0	1.42	28
57			"base"	"interview"	2020-07-27 11:08:17	0	3	"5e51b364568d4a1e7da84510"	"Forced2Forced3Forced1Forced3Forced4Forced4Forced3Forced3Forced1Forced3Forced3Forced4Forced3Forced3Forced1Forced3DV"	1	2391	1	1511	1	1074	1	814	1	1471	1	823	1	900	1	809	1	1146	1	1055	1	1671	1	1444	1	1166	1	760	1	910	1	952	2	4576	1	1992	81	34	2	3219	1	3665	40	68			37	73	55	31	45	58	36	44	"5e51b364568d4a1e7da84510"	15	1	2	3	"Dutch"	"Dutch"	1	6	2	4	3	16	5	5	3	4	13	8	3	4	4	10	5	194	115		2020-07-27 11:13:06	T	F	18	18	0	0	1.95	75
58			"base"	"interview"	2020-07-27 11:08:28	0	19	"5c1d458ae2d9150001b5a234"	"Forced3Forced3Forced1Forced1Forced4Forced1Forced3Forced3Forced3Forced3Forced3Forced3Forced4Forced2Forced4Forced3DV"	1	12130	1	2989	1	1965	1	1315	1	3612	1	1687	1	1167	1	844	1	854	1	1902	1	857	1	2111	1	580	1	1670	1	1516	1	975	2	9002	1	14245	56	47	1	4982	1	17359	62	85			96	73	5	25	69	71	80	66	"5c1d458ae2d9150001b5a234"	19	1	2	4	"German"	"English, German"	2	33	24	8	2	30	7	10	10	6	28	14	15	8	18	20	15	17	243		2020-07-27 11:12:53	T	F	18	18	0	0	0.99	13
59			"base"	"interview"	2020-07-27 11:08:29	0	34	"5ee24c57c21e4b3191f6f36c"	"Forced2Forced2Forced2Forced2Forced1Forced4Forced2Forced2Forced2Forced4Forced4Forced3Forced2Forced1Forced2Forced1DV"	1	5205	1	5921	1	5510																																																	"5ee24c57c21e4b3191f6f36c"							2	48	74		19														83		2020-07-27 11:10:50	F	F	4	4	0	0	0.43	0
60			"base"	"interview"	2020-07-27 11:08:36	0	2	"5e96d5d01822d915d7ac7a48"	"Forced4Forced2Forced4Forced2Forced1Forced2Forced2Forced3Forced4Forced2Forced2Forced2Forced2Forced1Forced2Forced1DV"	1	16388	1	4806	1	3637	1	2480	1	4167	1	1617	1	1395	1	2971	1	1488	1	1013	1	846	1	841	1	1593	1	1375	1	958	1	977	2	5814	1	4433	74	29	2	6556	1	6215	71	16			36	70	77	70	66	77	69	83	"5e96d5d01822d915d7ac7a48"	7	2	2	4	"South Africa"	"Afrikaans"	2	31	8	10	25	4	24	7	6	8	21	10	6	7	9	17	10	17	220		2020-07-27 11:12:16	T	F	18	18	0	0	1.16	14
61			"base"	"interview"	2020-07-27 11:08:38	0	10	"5e87a820c35eb042f00d4e3d"	"Forced2Forced1Forced2Forced4Forced2Forced3Forced4Forced2Forced2Forced2Forced2Forced2Forced2Forced1Forced4Forced1DV"	1	3086	1	2556	1	1873	1	1683	1	1422	1	1344	1	1094	1	1089	1	894	1	997	1	719	1	650	1	747	1	627	1	1121	1	1108	2	7636	1	4194	52	41	2	14960	2	3245	9	59			65	40	45	73	77	61	37	56	"5e87a820c35eb042f00d4e3d"	5	2	2	3	"British"	"English"	1	15	10	7	19	2	5	9	10	16	23	18	5	6	4	13	12	16	180		2020-07-27 11:11:48	T	F	18	18	0	0	1.3	24
62			"base"	"interview"	2020-07-27 11:08:39	0	51	"5e959505775eaa9191aecce9"	"Forced1Forced4Forced2Forced4Forced3Forced3Forced1Forced3Forced4Forced3Forced3Forced3Forced1Forced3Forced3Forced3DV"	1	6948	1	1919	1	1851	1	1136	1	3015	1	1223	1	1203	1	819	1	696	1	1224	1	599	1	559	1	978	1	615	1	855	1	554	1	3895	2	6367	80	74	1	3279	2	6270			72	20	54	37	18	55	90	85	80	80	"5e959505775eaa9191aecce9"	10	1	2	5	"Poland"	"Polish"	2	33	19	12	2	15	7	8	19	7	37	17	5	15	5	10	10	12	233		2020-07-27 11:12:32	T	F	18	18	0	0	1.11	16
63			"base"	"interview"	2020-07-27 11:08:45	0	16	"5ee3ded1c6b67d0bbf76c201"	"Forced3Forced2Forced4Forced1Forced4Forced4Forced4Forced4Forced2Forced3Forced3Forced4Forced4Forced4Forced4Forced2DV"	1	4447	1	2574	1	7331	1	2169	1	2394	1	1292	1	702	1	663	1	2002	1	1258	1	1111	1	951	1	766	1	3298	1	798	1	1033	1	19688	2	6488	70	59	2	3026	1	5276	71	85			79	70	78	41	29	30	37	41	"5ee3ded1c6b67d0bbf76c201"	2	1	2	3	"Portuguese"	"Portuguese"	2	3	25	3	9	9	23	20	22	3	41	18	7	11	6	13	11	37	261		2020-07-27 11:13:08	T	F	18	18	0	0	1.11	35
64			"base"	"interview"	2020-07-27 11:08:46	0	41	"5b89a25df12d55000126e7e1"	"Forced3Forced1Forced1Forced2Forced1Forced4Forced2Forced1Forced3Forced2Forced3Forced1Forced1Forced1Forced1Forced1DV"	1	3750	1	3226	1	6990	1	7133	1	3315	1	4818	1	2638	1	3749	1	2296	1	2500	1	2292	1	2420	1	1711	1	3112	1	2190	1	2014	1	6237	2	8753	23	91	1	3773	2	8442			17	12	81	91	21	11	88	84	87	87	"5b89a25df12d55000126e7e1"	37	2	2	5	"UK"	"English"	1	25	18	35	14	10	5	10	25	9	33	27	7	8	4	27	15	18	290		2020-07-27 11:13:36	T	F	18	18	0	0	0.87	4
65			"base"	"interview"	2020-07-27 11:08:50	0	23	"5e679c9105af6e041cc7ec36"	"Forced3Forced1Forced3Forced3Forced4Forced4Forced4Forced1Forced3Forced3Forced3Forced3Forced1Forced3Forced2Forced3DV"	1	1398	1	2419	1	2261	1	3046	1	2152	1	1376	1	1252	1	986	1	1681	1	728	1	633	1	1406	1	600	1	558	1	448	1	1193	1	3083	2	1903	42	64	1	2913	2	1902	36	19			26	16	76	82	37	44	53	73	"5e679c9105af6e041cc7ec36"	8	2	2	5	"Dutch"	"Dutch"	1	9	3	5	1	20	7	4	4	4	16	7	3	3	3	12	8	7	116		2020-07-27 11:10:46	T	F	18	18	0	0	2.07	80
66			"base"	"interview"	2020-07-27 11:08:59	0	36	"5e8f7d306ced5f26b943c877"	"Forced1Forced4Forced4Forced3Forced4Forced4Forced4Forced4Forced3Forced2Forced2Forced4Forced3Forced4Forced2Forced4DV"	1	2370	1	2998	1	2168	1	5425	1	3051	1	1522	1	1211	1	979	1	3199	1	2994	1	1115	1	1221	1	1589	1	2018	1	1264	1	1319	1	3413	2	10561	36	76	1	8459	1	14088			-9	101	31	24	46	71	46	38	66	76	"5e8f7d306ced5f26b943c877"	7	1	2	4	"Dutch, English"	"Dutch, English"	1	14	6	4	8	12	23	11	20	15	27	10	4	13	9	36	8	23	234		2020-07-27 11:13:02	T	F	18	18	3	2	1.11	15
67			"base"	"interview"	2020-07-27 11:09:01	0	57	"5c4f222289254700019f183b"	"Forced2Forced2Forced1Forced1Forced1Forced1Forced3Forced3Forced1Forced2Forced1Forced1Forced1Forced3Forced4Forced1DV"	1	2407	1	3066	1	3320	1	1125	1	1474	1	1220	1	1683	1	869	1	1165	1	1165	1	863	1	822	1	746	1	1447	1	2388	1	966	1	4924	1	5335	40	61	1	7497	1	2805			56	44	46	65	58	31	40	44	51	21	"5c4f222289254700019f183b"	6	2	2	4	"British"	"English"	2	19	9	19	9	6	3	6	13	6	20	10	5	7	8	10	7	24	181		2020-07-27 11:12:02	T	F	18	18	0	0	1.33	19
68			"base"	"interview"	2020-07-27 11:09:16	0	43	"5d723d5f5bf0060017a03dc6"	"Forced1Forced1Forced3Forced1Forced3Forced4Forced3Forced3Forced3Forced4Forced3Forced2Forced4Forced3Forced3Forced3DV"	1	6187	1	3577	1	3563	1	3935	1	2239	1	3149	1	1811	1	1452	1	1245	1	1577	1	1498	1	1977	1	1163	1	1113	1	940	1	1048	1	6863	2	17469	42	62	1	5748	2	8900			10	34	76	57	20	49	77	76	74	76	"5d723d5f5bf00660017a03dc6"	35	2	1	4	"British "	"English "	2	123	27	16	2	20	8	18	20	9	34	13	8	14	6	17	20	24	285		2020-07-27 11:15:36	T	F	18	18	0	0	0.84	11
69			"base"	"interview"	2020-07-27 11:09:19	0	22	"5efe3fc6f597a73226c3e5cd"	"Forced2Forced3Forced1Forced4Forced2Forced2Forced2Forced4Forced1Forced2Forced2Forced2Forced4Forced1Forced2Forced2DV"	1	4707	1	3144	1	2718	1	1622	1	1525	1	1870	1	1469	1	1235	1	1049	1	644	1	520	1	739	1	822	1	598	1	658	1	507	2	5238	1	4962	74	31	1	6865	2	5177	49	84			61	47	41	50	73	75	60	61	"5efe3fc6f597a73226c3e5cd"	9	1	2	5	"Italian"	"Italian"	2	43	21	8	19	3	5	6	5	8	34	12	5	11	6	21	7	31	245		2020-07-27 11:13:24	T	F	18	18	0	0	1.19	16
70			"base"	"interview"	2020-07-27 11:09:21	0	60	"5e270ffbfec77b000db5e0c8"	"Forced4Forced4Forced3Forced4Forced4Forced2Forced4Forced4Forced1Forced3Forced2Forced4Forced4Forced3Forced2Forced4DV"	1	5679	1	2450	1	2713	1	1807	1	2416	1	2653	1	1982	1	1345	1	1745	1	2107	1	1784	1	2479	1	1783	1	1590	1	1869	1	1754	2	10468	1	16875	56	46	2	6727	1	10090			76	81	21	26	76	81	61	61	61	61	"5e270ffbfec77b000db5e0c8"	22	2	2	6	"Hungarian"	"Hungarian"	2	81	24	3	10	8	30	18	24	11	90	29	12	13	8	48	19	18	381		2020-07-27 11:16:47	T	F	18	18	0	0	0.74	7
71			"base"	"interview"	2020-07-27 11:09:23	0	11	"5df720e1c76aa64c4ac8e69a"	"Forced4Forced3Forced3Forced3Forced3Forced3Forced4Forced3Forced1Forced1Forced1Forced3Forced2Forced3Forced4Forced3DV"	1	9469	1	6524	1	5022	1	2985	1	2190	1	908	1	3467	1	1153	1	5206	1	1041	1	1122	1	1553	1	3964	1	1389	1	1982	1	1237	2	27489	1	3568	61	44	1	3317	2	6286	82	68			85	61	16	25	51	51	51	51	"5df720e1c76aa64c4ac8e69a"	8	1	2	2	"Australian"	"English"	1	15	14	10	5	32	19	28	7	4	33	8	5	7	7	16	8	14	213		2020-07-27 11:13:15	T	F	18	18	0	0	1.15	14
72			"base"	"interview"	2020-07-27 11:09:26	0	55	"5dac180a79d2ea00160034a3"	"Forced4Forced1Forced3Forced3Forced4Forced3Forced3Forced3Forced4Forced3Forced3Forced2Forced3Forced1Forced3Forced1DV"	1	10516	1	3678	1	4076	1	3614	1	3292	1	2195	1	2074	1	2021	1	2646	1	2435	1	2312	1	3199	1	2021	1	2273	1	2086	1	2491	1	8381	2	20559	92	76	1	7749	2	8589			34	87	56	40	60	35	83	85	82	79	"5dac180a79d2ea00160034a3"	35	2	2	5	"italy"	"italian"	2	82	29	11	4	29	18	22	20	9	60	20	9	10	9	19	24	27	389		2020-07-27 11:16:08	T	F	18	18	0	0	0.69	4
73			"base"	"interview"	2020-07-27 11:09:41	0	1	"5e81ae7fce2595891c98d847"	"Forced1Forced3Forced1Forced1Forced1Forced2Forced2Forced3Forced4Forced1Forced1Forced1Forced1Forced1Forced3Forced2DV"	1	6233	1	2876	1	2407	1	1227	1	977	1	5571	1	1906	1	3112	1	3266	1	2584	1	977	1	919	1	846	1	1010	1	1445	1	2597	2	5438	1	3032	51	48	2	2852	2	3508	80	99			75	97	33	3	91	97	99	100	"5e81ae7fce2595891c98d847"	23	2	2	4	"British, mixed"	"English"	2	47	12	26	13	11	4	7	13	4	21	10	4	8	4	20	42	36	251		2020-07-27 11:14:23	T	F	18	18	0	0	1.05	11
74			"base"	"interview"	2020-07-27 11:09:46	0	47	"5ea439dc93435d3ec99bcce9"	"Forced3Forced2Forced3Forced3Forced3Forced3Forced1Forced1Forced3Forced3Forced4Forced4Forced3Forced4Forced3Forced1DV"	1	2932	1	1754	1	2721	1	1260	1	4981	1	641	1	1031	1	675	1	876	1	621	1	699	1	603	1	561	1	499	1	561	1	895	2	6563	1	11248	60	43	1	8229	1	6086			70	26	50	64	86	33	91	92	88	90	"5ea439dc93435d3ec99bcce9"	14	3	2	4	"Estonian/Ukrainian"	"Russian"	1	20	12	4	2	22	4	12	17	7	49	18	7	6	9	19	13	58	241		2020-07-27 11:14:25	T	F	18	18	0	0	1.12	21
75			"base"	"interview"	2020-07-27 11:09:51	0	58	"5d89462b6fd38e0018254be4"	"Forced2Forced2Forced2Forced2Forced2Forced4Forced1Forced2Forced2Forced4Forced3Forced1Forced1Forced4Forced2Forced2DV"	1	9482	1	29101	1	937	1	1455																																															"5d89462b6fd38e0018254be4"							1	9	9		44														27		2020-07-27 11:10:53	F	F	4	4	0	0	1.66	50
76			"base"	"interview"	2020-07-27 11:09:55	0	21	"5e2c0bdc70f9b52365a9c884"	"Forced2Forced3Forced1Forced1Forced3Forced1Forced1Forced4Forced1Forced3Forced2Forced1Forced1Forced2Forced1Forced1DV"	1	3951	1	2403	1	3101	1	1349	1	1110	1	1012	1	1763	1	7563	1	686	1	373	1	388	1	614	1	431	1	379	1	422	1	375	1	7304	2	3072	21	94	1	2760	2	108673	84	58			91	47	51	53	92	47	65	45	"5e2c0bdc70f9b52365a9c884"	16	2	2	4	"polish"	"polish"	1	7	1	16	7	5	8	8	8	3	14	17	4	4	109	8	8	13	137		2020-07-27 11:13:55	T	F	18	18	0	0	1.58	61
77			"base"	"interview"	2020-07-27 11:10:04	0	42	"5b1791a7c9d3cb00010fe3c3"	"Forced2Forced2Forced1Forced4Forced2Forced2Forced2Forced2Forced3Forced4Forced2Forced2Forced2Forced1Forced1Forced4DV"	1	4668	1	2584	1	2366	1	3186	1	1962	1	1104	1	1017	1	1073	1	2080	1	1351	1	2249	1	1464	1	1408	1	2365	1	4351	1	2492	2	3952	1	1624	78	31	1	5766	2	5869			81	21	71	71	16	6	81	81	81	81	"5b1791a7c9d3cb00010fe3c3"	27	1	2	3	"Greek"	"Greek"	1	22	22	17	40	4	15	5	18	8	33	16	6	9	8	30	47	50	253		2020-07-27 11:15:54	T	F	18	18	0	0	0.84	7
78			"base"	"interview"	2020-07-27 11:10:51	0	13	"5810cf49aba80400016f1321"	"Forced1Forced1Forced1Forced1Forced1Forced1Forced4Forced1Forced2Forced3Forced1Forced2Forced1Forced2Forced3Forced3DV"	1	3793	1	972	1	473	1	2843	1	1110	1	653	1	1519	1	3422	1	4572	1	951	1	1014	1	512	1	510	1	490	1	772	1	639	2	4306	1	2327	88	24	2	2337	1	10164	30	87			57	87	79	36	42	81	84	99	"5810cf49aba80400016f1321"	5	2	1	3	"Italian"	"Italian"	1	4	11	20	8	4	3	5	4	3	16	11	3	3	11	29	6	23	164		2020-07-27 11:13:35	T	F	18	18	0	0	1.72	53
80			"base"	"interview"	2020-07-27 11:11:01	0	17	"5e5bad73da5c033910ba952e"	"Forced2Forced1Forced1Forced1Forced1Forced1Forced1Forced4Forced1Forced1Forced2Forced2Forced3Forced3Forced3Forced1DV"	1	8892	1	7219	1	6004	1	3186	1	2436	1	2238	1	2673	1	3235	1	2012	1	2085	1	4127	1	1668	1	3644	1	2658	1	1476	1	1773	1	15697	1	10549	51	47	1	7333	2	13139	66	76			68	76	36	26	68	68	68	68	"5e5bad73da5c033910ba952e"	6	2	2	5	"Dutch"	"Dutch"	2	54	21	35	17	11	5	17	9	8	62	15	12	20	14	29	10	26	350		2020-07-27 11:17:06	T	F	18	18	0	0	0.73	3
81			"base"	"interview"	2020-07-27 11:11:01	0	37	"5e43fd807e3373285b18426c"	"Forced1Forced3Forced1Forced1Forced1Forced1Forced2Forced2Forced3Forced2Forced1Forced3Forced1Forced1Forced4Forced1DV"	1	6370	1	4525	1	8966	1	2462	1	1607	1	1350	1	3308	1	1192	1	2543	1	1155	1	983	1	1839	1	946	1	807	1	3246	1	834	1	2289	2	18343	53	52	2	4769	2	4886			52	22	65	85	42	21	56	65	67	75	"5e43fd807e3373285b18426c"	6	2	2	4	"australian"	"english"	1	11	14	33	8	12	5	20	17	6	51	14	3	531	6	13	8	22	251		2020-07-27 11:23:55	T	F	18	18	0	0	1.04	12
82			"base"	"interview"	2020-07-27 11:11:02	1	5	"5efa0ba0c132770a40b5c854"	"Forced1Forced1Forced1Forced1Forced2Forced1Forced3Forced4Forced2Forced1Forced3Forced1Forced3Forced1Forced1Forced2DV"	1	40189	1	6175	1	16603	1	133275	1	12416	1	934	1	2988	1	1347	1	1783	1	730	1	1972	1	1694	1	1496	1	1305	1	1416	1	908	1	3601	2	2905	42	-9	1	3677	2	4307	66	32			67	49	20	58	50	50	51	51	"5efa0ba0c132770a40b5c854"	17	2	2	5	"Scottish"	"English"	1	105	19	208	18	9	2	5	9	4	20	13	3	5	5	19	10	19	274		2020-07-27 11:18:55	T	F	18	18	3	2	1.2	21
83			"base"	"interview"	2020-07-27 11:11:04	0	32	"5e95f879f4d19b04d6187052"	"Forced3Forced4Forced4Forced2Forced4Forced3Forced4Forced2Forced3Forced4Forced4Forced4Forced2Forced1Forced4Forced4DV"	1	4634	1	5133	1	1855	1	3134	1	1842	1	2283	1	765	1	3252	1	1897	1	2575	1	1218	1	1213	1	5498	1	4004	1	1427	1	816	1	6840	2	5896	25	62	1	5126	1	9511	76	56			59	29	49	33	76	85	60	58	"5e95f879f4d19b04d6187052"	17	1	2	4	"polish"	"polish"	1	23	31	4	15	10	24	8	8	6	32	16	6	10	11	15	11	17	247		2020-07-27 11:15:11	T	F	18	18	0	0	0.99	7
84			"base"	"interview"	2020-07-27 11:11:06	0	15	"5ce538af6684fa001c0e29eb"	"Forced4Forced3Forced3Forced1Forced3Forced1Forced3Forced3Forced3Forced4Forced3Forced4Forced3Forced2Forced3Forced1DV"	1	6212	1	3201	1	3657	1	5332	1	3370	1	2816	1	1988	1	1282	1	1044	1	1772	1	1278	1	1505	1	1148	1	2416	1	1313	1	1240	2	5590	1	4053	61	43	2	7266	1	5334	70	93			56	86	70	14	53	93	55	86	" 5ce538af6684fa001c0e29eb"	14	2	2	5	"British"	"English"	2	39	11	12	3	24	11	6	11	8	32	10	5	4	6	16	10	12	220		2020-07-27 11:14:46	T	F	18	18	0	0	1.21	15
85			"base"	"interview"	2020-07-27 11:11:08	0	27	"5efc9c83900048069edcb65e"	"Forced3Forced3Forced1Forced3Forced4Forced4Forced3Forced3Forced1Forced3Forced1Forced3Forced3Forced2Forced4Forced3DV"	1	2047	1	1919	1	2065	1	1410	1	2904	1	1199	1	1082	1	819	1	1191	1	888	1	1213	1	723	1	929	1	3778	1	1367	1	880	2	16477	1	7335	58	43	2	6951	1	4273	30	38			81	61	31	41	61	61	36	36	"5efc9c83900048069edcb65e"	14	2	2	5	"UK"	"English"	1	21	13	7	4	17	7	17	12	8	52	19	8	8	5	25	10	8	241		2020-07-27 11:15:09	T	F	18	18	0	0	1.1	12
86			"base"	"interview"	2020-07-27 11:11:15	0	53	"5e85b023bd0d95000933aea6"	"Forced2Forced2Forced1Forced1Forced3Forced1Forced4Forced1Forced3Forced1Forced1Forced3Forced1Forced2Forced1Forced1DV"	1	3828	1	2374	1	2972	1	1002	1	1439	1	1445	1	1130	1	748	1	842	1	753	1	597	1	1005	1	1044	1	479	1	502	1	431	2	3739	1	4872	90	23	2	2637	1	3929			73	1	-9	101	53	79	26	70	31	85	"5e85b023bd0d95000933aea6"	18	1	2	5	"Polish"	"Polish"	2	22	15	14	9	6	2	5	6	5	12	7	4	3	4	9	7	10	140		2020-07-27 11:13:35	T	F	18	18	3	3	1.71	40
87			"base"	"interview"	2020-07-27 11:11:28	0	61	"5c38fc19bef9a20001e3ea79"	"Forced2Forced1Forced1Forced3Forced1Forced1Forced1Forced3Forced2Forced2Forced1Forced1Forced3Forced1Forced4Forced1DV"	1	3975	1	1275	1	1185	1	1601	1	5430	1	1033	1	648	1	903	1	1162	1	675	1	1020	1	884	1	1043	1	771	1	1168	1	573	1	2283	2	8488	51	55	1	2084	2	5288			12	1	66	90	29	1	68	49	74	76	"5c38fc19bef9a20001e3ea79"	24	2	2	5	"Portuguese"	"Portuguese"	2	37	19	17	8	6	2	9	21	6	23	13	3	5	3	14	9	19	214		2020-07-27 11:15:02	T	F	18	18	0	0	1.27	21
88			"base"	"interview"	2020-07-27 11:11:28	1	45	"5d6ff29b6fa93a001d61fc06"	"Forced2Forced1Forced1Forced1Forced1Forced3Forced2Forced1Forced2Forced1Forced1Forced1Forced4Forced3Forced1Forced3DV"	1	16377	1	8648	1	6644	1	3955	1	6498	1	13531	1	9146	1	3993	1	3416	1	6568	1	3861	1	2803	1	10154	1	5947	1	6970	1	2852	1	8845	2	21917	26	71	1	4093	1	11923			28	26	73	76	28	26	99	100	100	100	"5d6ff29b6fa93a001d61fc06"	14	2	2	5	"Greek"	"Greek"	2	124	23	58	31	25	11	23	17	12	66	63	10	19	5	36	12	27	368		2020-07-27 11:20:50	T	F	18	18	0	0	0.53	1
89			"base"	"interview"	2020-07-27 11:11:32	1	36	"5ef14fa1454675509fcc3676"	"Forced4Forced2Forced4Forced2Forced4Forced4Forced4Forced3Forced2Forced3Forced1Forced4Forced4Forced4Forced3Forced4DV"	1	34295	1	6262	1	3107	1	2141	1	3429			1	18875	1	3051	1	6284	1	2549	1	1831	1	7799	1	2646	1	2075	1	942	1	1301	2	7894	2	16553	83	22	2	19272	1	12451			99	50	51	63	94	35	51	73	92	58	"5ef14fa1454675509fcc3676"	12	2	1	4	"SOUTH AFRICA"	"ZULU"	1	53	4	9	16	14	143	19	41	14	46	22	10	11	21	42	21	85	328		2020-07-27 11:21:03	T	F	18	18	0	0	0.65	9
90			"base"	"interview"	2020-07-27 11:11:33	0	25	"5c59abc867ad3600013b86c4"	"Forced2Forced1Forced4Forced1Forced1Forced1Forced1Forced2Forced1Forced1Forced1Forced2Forced3Forced3Forced1Forced3DV"	1	4043	1	2478	1	3565	1	2614	1	1399	1	1439	1	928	1	2032	1	841	1	942	1	867	1	1317	1	1843	1	804	1	1411	1	1249	1	8849	2	5262	29	69	1	7071	1	5935	78	91			76	80	29	14	89	68	54	73	"5c59abc867ad3600013b86c4"	14	2	2	5	"Portuguese"	"Portuguese"	1	12	2	22	11	6	4	9	18	8	38	15	6	6	7	39	12	18	233		2020-07-27 11:15:26	T	F	18	18	0	0	1.17	31
91			"base"	"interview"	2020-07-27 11:11:39	1	55	"5f0ecb065f6bfa23610aa0c2"	"Forced3Forced3Forced2Forced3Forced3Forced4Forced3Forced4Forced3Forced3Forced1Forced3Forced1Forced4Forced3Forced1DV"	1	9440	1	15741	1	5203	1	4255	1	4747	1	12711	1	2182	1	1744	1	1630	1	1158	1	4988	1	2125	1	1296	1	2003	1	50842	1	2134	2	17616	1	19429	89	17	2	6249	1	18399			70	21	17	38	27	28	69	59	58	65	"5f0ecb065f6bfa23610aa0c2"	26	1	2	4	"Polish"	"Polish"	2	204	101	11	5	99	19	20	17	19	69	24	19	46	7	31	27	35	322		2020-07-27 11:24:12	T	F	18	18	0	0	0.52	2
92			"base"	"interview"	2020-07-27 11:11:44	0	4	"5d89462b6fd38e0018254be4"	"Forced4Forced1Forced2Forced3Forced2Forced4Forced4Forced3Forced3Forced4Forced4Forced4Forced2Forced4Forced4Forced4DV"	1	5573	1	4104	1	3269	1	2209	1	1493	1	1337	1	1317	1	1215	1	676	1	984	1	618	1	554	1	1319	1	1297	1	502	1	719	2	6755	1	3196	56	44	2	5522	1	4346	36	71			37	40	62	47	49	58	54	52	"https://www.soscisurvey.de/hups3/index.php?i=P7J9OFA6857A&rnd=CGGV"	31	2	2	5	"British"	"English"	1	7	4	5	8	7	20	7	9	7	26	6	4	9	5	16	12	20	172		2020-07-27 11:14:36	T	F	18	18	0	0	1.41	29
